hatursfullur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hégómafullur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hjáróma	lo	l			Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hjátrúarfullur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hommafælinn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hræsinn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hræsnisfullur	lo	l	e	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hrokafullur	no	l	e	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hrottafenginn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
huglaus	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hundgamall	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
hysterískur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
illgjarn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
illkvittinn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
illviðræðuhæfur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kæruglaður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kærulaus	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kaldhæðnislegur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
karlsamur	lo	l		graður	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kassalaga	lo	l		sá sem sér ekki út fyrir kassann	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kengruglaður	lo	l	h	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
klámfenginn	lo	l	y		Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kvikindislegur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kynferðilegur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
kynferðislegur	lo	l	y	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
laminn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
lauslátur	lo	l	y	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
lostafenginn	lo	l	y		Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
margdæmdur	lo	l	e	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
meylegur	lo	l			Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
misskilinn	lo	l	e	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
móðursjúkur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
morðóður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
mótþróafullur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
munaðarlegur	lo	l	y		Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
nasískur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
nojaður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)	ath enskusletta af 'paranoid'				
óbrjálaður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ódrukkinn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
