u-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
lótutja	no	u	k/kvk	grennluleg stúlka	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona	x (lítill veikbyggður hestur)
lufsa	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		x (flík)
Lufsulegur	lo	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
luri	no	u	k/kk	luralegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa klæddur karlmaður, illa útlítandi karl	
lurkur	no	u	k/kk	stirðbusalegur maður eða dúr	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stirðbusalegur karlmaður	
lussi	no	u	k/kk	þyngslalegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stirðbusalegur karlmaður	
matseljumergur	no	u	k/kvk	þéttholda húsfreyja	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxin kona	
ména	no	u	k/kvk	mjóslegin kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona	
méni	no	u	k/kk	grannvaxinn karlmaður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Magur karlmaður	
mína	no	u	k/kvk	mjó og rengluleg stelpa eða kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona	
mjógosi	no	u	k/kk	lítill og horaður maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Magur karlmaður	
mjóna	no	u	k/kvk	grannvaxin stúlka	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona	
molduxi	no	u	k/kk	stuttur, þrekinn maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	
nubbur	no	u	k/kk	stubbur, lágur og gildvaxinn maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	
nurtur	no	u	k/kk	smávaxinn maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	
ódámur	no	u	k/kk	sóði, jarðvöðull	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðalegur karlmaður	
ódeili	no	u	k/kk	sóðalegur maður, jarðvöðull	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðalegur karlmaður	
ófreskja	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
ógerð	no	u	k/kk	afturkreistingur, vesalingur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
óræsti	no	u	k/kk	sóði	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðalegur karlmaður	
örkvisi	no	u	k/kk	aukvisi, veiklulegur maður, væskill	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
örlaki	no	u	k/kk	vesæll maður og kraftlítill; vanmetaskepna	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
örmeti	no	u	k/kk	afturkreistingur, væskill, örkvisi	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
pæna	no	u	k/kvk	grönn kona; þunn fjöl	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona	x (þunn fjöl)
píslargrátur	no	u	k/kk	lítill, magur og mæðulegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	
píslarormur	no	u	k/kk	ræfilslegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
pútlingur	no	u	k/kk	smávaxinn maður; lítill, þófinn vettlingur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	x (lítill, þófinn vettlingur)
raumur	no	u	k/kk	rumur, stór maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
rekugaddur	no	u	k/kk	gildvaxinn, feitur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxinn karlmaður	
Renglulegur	lo	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
renigantur	no	u	k/kk	stór, óþjáll og klunnalegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
riflingur	no	u	k/kk	tötralegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa klæddur karlmaður, illa útlítandi karl	
ríkisbubbi	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
rindill	no	u	k/kk	væskill, mjóvaxinn maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Magur karlmaður	
robbi	no	u	k/kk	stórskorinn og grobbinn maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
rubbungur	no	u	k/kk	stór, luralegur maður eða skepna	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
rubbur	no	u	k/kk	stór, luralegur maður eða skepna	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
ruddungur	no	u	k/kk	þrekvaxinn maður; stór hrútur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
rumur	no	u	k/kk	maður mikill vexti, stór og stirðbusalegur maður, raumur, rumur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
rumur	no	u	k/kk	stór maður, beljaki, raumur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
serberus	no	u	k/kk	sóði, jarðvöðull	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðalegur karlmaður	
skitsi	no	u	k/kvk	hrikalegur kvenmaður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxin kona	
skrímsli	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
skrjóða	no	u	k/kvk	ræfilsleg drusluleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa útlítandi kona	
sladdi	no	u	k/kk	sóðafenginn maður, blautur og óhreinn	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðalegur karlmaður	
slæki	no	u	k/kvk	stórvaxinn kvenmaður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxin kona	
slambakur	no	u	k/kk	slöttólfslegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
slambert	no	u	k/kk	sóði	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðalegur karlmaður	
slánalegur	lo	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
Sláni	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
sláni	no	u	k/kk	langur og mjór maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
sleggja	no	u	k/kvk	hávaxin stelpa	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Hávaxin, grönn kona	x (verkfæri)
slengja	no	u	k/kvk	grönn, hávaxin kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Hávaxin, grönn kona	x (so. Að slengja)
slengjalengja	no	u	k/kvk	grönn, hávaxin kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Hávaxin, grönn kona	
slöttólfur	no	u	k/kk	stórvaxinn (þunglamalegur ) strákur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
slöttur	no	u	k/kk	slöttólfur, klunnalegur sláni	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
sóðalöpp	no	u	k/kvk	sóðaleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðaleg kona	
Spikfeitur	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
spóanefur	no	u	k/kk	maður magur í andliti	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Magur karlmaður	
spóaríkur	no	u	k/kk	maður eða dýr með grönn, holdlítil læri	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Magur karlmaður	
stirðbusi	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
stirðbusi	no	u	k/kk	stirður maður, klaufi, klunni	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stirðbusalegur karlmaður	
straull	no	u	k/kk	grófgerður, stirðlegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stirðbusalegur karlmaður	
stritta	no	u	k/kvk	ritjuleg og sóðaleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðaleg kona	
ströngull	no	u	k/kk	langur sláni	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Hávaxinn grannur karlmaður	x( aðalleggur plöntu)
strympa	no	u	k/kvk	skass	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxin kona	
strytta	no	u	k/kvk	hávaxinn og magur kvenmaður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona	
strytta	no	u	k/kvk	ritjuleg og sóðaleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðaleg kona	
stryttulegur	lo	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
stykki	no	u	k/kvk	stór, þunglamaleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxin kona	x
subba	no	u	k/kvk	sóðakvendi	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	útlit: sóðaleg kona	
surtla	no	u	k/kvk	stórvaxin og sóðaleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxin kona	
surtla	no	u	k/kvk	stórvaxin og sóðaleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	útlit: sóðaleg kona	
syrpa	no	u	k/kvk	subba sóðakvendi; tröllskessa	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	útlit: sóðaleg kona	x (röð)
taðjarpur	no	u	k/kk	gildvaxinn, feitur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxinn karlmaður	
taðláki	no	u	k/kk	væskill, ónytjungur til vinnu	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
taðrambur	no	u	k/kk	stuttur og kurfslegur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	x (stuttur og kurfslegur)
tísill	no	u	k/kk	smávaxinn maður; lítið og óburðugt dýr	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	x (lítið og óburðugt dýr)
tittur	no	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		x (pinni)
tókur	no	u	k/kk	hávaxinn maður, rumur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
tötrabassi	no	u	k/kk	tötrum klæddur (gildvaxinn) maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa klæddur karlmaður, illa útlítandi karl	
tuðull	no	u	k/kk	smávaxinn maður, kurfur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	x (smávaxinn maður, kurfur)
Tussulegur	lo	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
tyrðiltappi	no	u	k/kk	smávaxinn maður, rindill, væskill	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	
útskryppi	no	u	k/kk	maður sem er illa til fara	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa klæddur karlmaður, illa útlítandi karl	
væfla	no	u	k/kvk	druslulegur kvenmaður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa útlítandi kona	
væskill	no	u	k/kk	pervisalegur, kraftsmár maður, aukvisi	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
vámur	no	u	k/kk	raumur, ógeðfelld persóna	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
vargatætla	no	u	k/kvk	drusluleg kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa útlítandi kona	
vebeygja	no	u	k/kvk	grönn og vesaldarleg kona; vanþrifaskepna	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona	
vembill	no	u	k/kk	stuttur og kubbslegur maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður	
vesalingur	no	u	k/kk	örvasa maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
vöðull	no	u	k/kk	jarðvöðull, ötull en sóðafenginn maður	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðalegur karlmaður	
völsungur	no	u	k/kk	stór, fyrirferðarmikill strákur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxinn karlmaður	
votút	no	u	k/kk	vesaldarlegur maður, þroskalítill; seinþroska og korguleg skepna	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: vesældarlegur karlmaður, væskill	
þjasi	no	u	k/kk	ístrubelgur	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxinn karlmaður	
þjósa	no	u	k/kvk	feit kona	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxin kona	
Þvengmjór	lo	u			Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.		
