z-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða - misóviðeigandi listinn	Annað tilfallandi	önnur merking (ekki óviðeigandi)
endaþarmur	no	z	v 		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
endurákæra	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fangauppreisn	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fíkniefnabrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
fíkniefnaneysla	no	z	d		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	kvk	
fjöldaaftaka	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fjöldagröf	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fjöldamorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fjöldamorðingi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fjöldanauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fjöldaskotárás	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
föðurmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fólskumorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
fósturmissir	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
framhaldsbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
framhjáhald	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
frelsissvifting	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
frelsissvipta	so	z	s		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
frelsissvipting	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
frelsissviptingarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
friðarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
friðhelgisbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
gengjaofbeldi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
grýting	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hættubrot	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
haglabyssa	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hálshöggning	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hata	so	z	s		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hatursmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hefndarbrot	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hefndarklámsmál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hefndarmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hefnibrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
heiðursmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
heimilisofbeldi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
heimilisofbeldi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
heimilisofbeldisbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hermdarverkamaður	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
heróín	no	z	d		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	hk	
heróínsmygl	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hilmingarbrot	no	z	e		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hjúskaparbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hlutafjáraukning	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.	kvk	
hommafóbía	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hommaklám	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hómófóbía	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hópmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hópnauðga	so	z	s		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hópnauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hópnauðgunarmál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hópsjálfsmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hór	no	z	y		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hóruhús	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hótunarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hræsni	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hrottaverk	no	z	a		Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
hryðjuverk	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
