Heimskuorð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11
fáráðlingsháttur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
fáráðlingsskapur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
fáráðlingur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
fáráður	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
fásinna	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
fausi	no	h	k - kk	fljótfær auli	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
fávísi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
fávitaskapur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
fáviti	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
fífl	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
fimbulfambi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
flautakollur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
flón	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
flónska	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
fól	no	h	k - kk	fífl, kjáni	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
fóli	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
fólska	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
gáfnaskortur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
galapín	no	h	k - kk	flón	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
galfantur	no	h	k - kk	flónslegur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
ganti	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
gikkur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
gláni	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
glappaskot	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
glappi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
glappi	no	h	k - kk	flón	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
glópaldi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
glópska	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
glópur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
glópur	no	h	k - kk	rati, afglapi, kjáni, flón	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
golþorskur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
gorvambarhaus	no	h	k - kk	óskýr maður sem ruglar öllu saman	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
græningi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
græningjaháttur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
grænska	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
grasasni	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
grautarhaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
gunnungur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
hálfbjáni	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
hálfvitalegur	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
hálfvitaskapur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
hálfviti	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
hálfvitlaus	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
heimska	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
heimska	so	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
heimskingi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
heimskingi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
heimskulegur	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
heimskupör	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
heimskur	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
hrosshaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
hyggjuleysi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
idíót	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
imbi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
járnhaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
kálfur	no	h	k - kk	einfeldningur, flón	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni	x				
kálhaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
kálhöfuð	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
kjáni	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
kusi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
ljóska	no	h	k - kvk	heimsk ljóshærð kona	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
moðhaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
narri	no	h	k - kk	fífl, flón	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
