Önnur merking (ekki óviðeigandi)									
										
orð	orðfl.	kóði	kóði2	merking	önnur merking (ekki óviðeigandi)	Óviðeigandi ástæða	Annað tilfallandi			
júferta	no	u	k/kvk	digur kona; 'seglskúta'	x (seglskúta)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxin kona			
kálfur	no	h	k - kk	einfeldningur, flón	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
kálhaus	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
kálhöfuð	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
kjúklingur	no	u	k/kk	lítill og vesæll maður	x (dýr)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður			
klikka	so	s		 	x	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað				
kuggi	no	u	k/kk	kubbslegur maður; lítið kubbslegt skip	x (lítið kubbslegt skip)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður			
kuggur	no	u	k/kk	kubbslegur maður; lítið kubbslegt skip	x (lítið kubbslegt skip)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður			
langilja	no	u	k/kvk	há og grönn kona	x (löng og þunnvaxin skepna)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona			
lirfa	no	u	k/kk	drululegur maður	x (dýr)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Illa klæddur karlmaður, illa útlítandi karl			
lótutja	no	u	k/kvk	grennluleg stúlka	x (lítill veikbyggður hestur)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona			
lufsa	no	u			x (flík)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.				
naut	no	h	n	heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
nautshaus	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
pæna	no	u	k/kvk	grönn kona; þunn fjöl	x (þunn fjöl)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Mögur kona			
pútlingur	no	u	k/kk	smávaxinn maður; lítill, þófinn vettlingur	x (lítill, þófinn vettlingur)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður			
rýna	no	h	k - kk	treggáfaður maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
sauður	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
sleggja	no	u	k/kvk	hávaxin stelpa	x (verkfæri)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Hávaxin, grönn kona			
slengja	no	u	k/kvk	grönn, hávaxin kona	x (so. Að slengja)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Hávaxin, grönn kona			
ströngull	no	u	k/kk	langur sláni	x( aðalleggur plöntu)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Hávaxinn grannur karlmaður			
stykki	no	u	k/kvk	stór, þunglamaleg kona	x	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Stórvaxin kona			
syrpa	no	u	k/kvk	subba sóðakvendi; tröllskessa	x (röð)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	útlit: sóðaleg kona			
